date;AirTemp;SkinTemp
2025-02-19;-7.2521193733550176;-6.111158765139609
2025-02-20;-11.490178077677392;-10.400116680275572
2025-02-21;-13.894043215953285;-13.893342120544874
2025-02-22;-14.956706876022283;-15.695867053209161
2025-02-23;-15.237780215030847;-16.042709728650625
2025-02-24;-14.461410432392913;-14.364381907913868
2025-02-25;-12.863779597017338;-13.753152376901008
2025-02-26;-11.381967972200526;-12.514369522326882
2025-02-27;-8.97632214018497;-10.483183583198347
2025-02-28;-7.275496321397106;-9.850140544272206
2025-03-01;-6.151289223956566;-7.0423879417109205
2025-03-02;-6.156150900940692;-7.798149001417923
2025-03-03;-4.9411806418789945;-5.0333455418044055
2025-03-04;-5.123919741473548;-6.216519286715304
2025-03-05;-2.96821544438671;-6.668981994033072
2025-03-06;-2.088531037366873;-6.410385543486636
2025-03-07;-0.8855162912326636;-5.187297006961231
2025-03-08;0.6073000712392189;-4.236050435852539
2025-03-09;2.1565720978181515;-2.705524445967566
2025-03-10;2.685863662710688;-1.9526693540481173
2025-03-11;2.7411732768880714;-1.3183624052368879
2025-03-12;2.615863407116727;-0.7669627735990124
2025-03-13;2.8848158416491203;-0.11888547576227484
2025-03-14;3.6709392494784057;0.3477556497514952
2025-03-15;4.815087485061925;0.8157661764816959
2025-03-16;4.134163160932652;1.1884520645858463
2025-03-17;6.26548416639694;2.4482716379609393
2025-03-18;2.2635060127747963;1.2953177421616273
2025-03-19;-5.316181748284731;-3.4910553839979483
2025-03-20;-8.272129246279977;-6.457879080636162
2025-03-21;-5.934285237572598;-5.0224264377738255
2025-03-22;-5.168249764096263;-4.759728033545196
2025-03-23;-4.637456871520937;-5.614347914234317
2025-03-24;-1.0557002384949585;-5.080540847559316
2025-03-25;2.443797851903071;-0.5977418353522049
2025-03-26;4.38384137376999;1.3045094060915958
2025-03-27;4.7354563073175076;1.4368094980250004
2025-03-28;5.4324104573486816;2.0885529349176846
2025-03-29;6.4954109101475;3.36682089095915
2025-03-30;5.030672740473894;2.13502715539184
2025-03-31;3.158399895239135;1.5864287451224621
2025-04-01;4.515079570325738;2.1097805918075205
2025-04-02;3.511901238919783;2.28913798302268
2025-04-03;2.4901141283338397;2.118498382029765
2025-04-04;3.583909524803138;1.8612396510556786
2025-04-05;2.997519265696224;0.960043003456891
2025-04-06;4.15965409953847;1.9585084747661303
2025-04-07;5.5144151270376565;2.80916153941737
2025-04-08;2.6181999092033426;1.7038464071892423
2025-04-09;0.5912633618134252;0.7305505013805896
2025-04-10;-6.346528849594929;-4.996512095171205
2025-04-11;-5.648616160370648;-4.759524480541107
2025-04-12;-7.439780325280523;-7.563409979065073
2025-04-13;-4.667172231936732;-5.413840144010619
2025-04-14;-3.8467592933394297;-2.9419687296630648
2025-04-15;-1.888460361567963;-1.3513385663152109
2025-04-16;0.6891770038491914;0.7041272936751544
2025-04-17;1.8382294021272585;0.2557173048602259
2025-04-18;3.237999753010436;0.3907152850343587
2025-04-19;5.747945038733294;2.590298069436701
2025-04-20;6.430604655667284;3.608623716532294
2025-04-21;5.921463402260747;3.4446297296684234
2025-04-22;8.121176010289595;4.952583621920855
